email_text,positive,negative,neutral,confident,professional
Please let me know if you need any help with the project.,0.8,0.0,0.2,0.6,0.9
I’m disappointed by the lack of updates on this matter.,0.1,0.9,0.1,0.7,0.8
We will proceed as discussed in the meeting.,0.6,0.0,0.4,0.9,0.95
"Hey, just checking in on the report. Any updates?",0.5,0.1,0.7,0.4,0.6
The results are unacceptable. We need to improve immediately.,0.0,0.95,0.05,0.85,0.75
Great job on the presentation! It was clear and impactful.,0.95,0.0,0.1,0.8,0.85
Can we talk later? I have some concerns about this direction.,0.3,0.6,0.3,0.5,0.7
Thank you for your continued support and collaboration.,0.9,0.0,0.1,0.7,0.95
I appreciate your quick response.,0.18,0.7,0.12,0.84,0.83
Let’s revisit the plan in our next meeting.,0.54,0.26,0.2,0.68,0.88
This is unacceptable and needs immediate attention.,0.02,0.06,0.92,0.76,0.57
Looking forward to working with you.,0.91,0.01,0.08,0.78,0.55
Your behavior in the meeting was concerning.,0.22,0.41,0.37,0.79,0.41
I'm not sure if this is the right direction.,0.07,0.89,0.04,0.43,0.56
Thank you for the update. It's helpful.,0.15,0.22,0.63,0.59,0.55
Please try to meet the deadline next time.,0.48,0.35,0.17,0.6,0.83
Excellent job! The team is impressed.,0.29,0.3,0.41,0.65,0.89
Let me know how I can assist further.,0.58,0.11,0.31,0.52,0.55
We’re behind schedule and must act quickly.,0.53,0.35,0.12,0.97,0.66
No worries. We’ll sort it out soon.,0.91,0.09,-0.0,0.52,0.98
Can we improve the tone of this document?,0.96,0.03,0.01,0.46,0.5
Kindly send me the final draft.,0.69,0.2,0.11,0.42,0.75
This approach seems unstructured and vague.,0.63,0.22,0.15,0.56,0.86
Congratulations on the successful launch!,0.05,0.73,0.22,0.59,0.88
I would appreciate more transparency going forward.,0.91,0.0,0.09,0.35,0.42
Let’s touch base tomorrow to discuss progress.,0.72,0.06,0.22,0.85,0.41
This was not what we agreed on.,0.47,0.48,0.05,0.78,0.41
The visuals in your slides were very polished.,0.55,0.43,0.02,0.49,0.66
We need a stronger argument in this section.,1.0,0.0,0.0,0.91,0.99
Appreciate the dedication shown by your team.,0.84,0.01,0.15,0.41,0.73
It’s frustrating to see repeated errors.,0.75,0.11,0.14,0.67,0.69
The team’s collaboration was outstanding.,0.19,0.65,0.16,0.47,0.62
Please confirm your availability by EOD.,0.91,0.01,0.08,0.71,0.83
Your input here was not constructive.,0.83,0.09,0.08,0.66,0.41
I’m available to help if needed.,0.23,0.29,0.48,0.53,0.73
We must align our objectives more clearly.,0.5,0.46,0.04,0.57,0.73
The tone in your message was too aggressive.,0.96,0.03,0.01,0.32,0.77
Thanks again for catching that mistake.,0.07,0.62,0.31,0.93,0.41
Let’s finalize this by Friday afternoon.,0.78,0.04,0.18,0.37,0.83
This lacks the professionalism expected.,0.87,0.03,0.1,1.0,0.5
Your insights made a big difference.,0.54,0.43,0.03,0.82,0.63
Let’s try to be more proactive moving forward.,0.64,0.3,0.06,0.87,0.68
Please avoid making assumptions in future reports.,0.64,0.12,0.24,0.52,0.4
You handled the issue with grace.,0.7,0.15,0.15,0.5,0.71
"Next time, ensure all stakeholders are informed.",0.74,0.15,0.11,0.5,0.94
Your points during the call were insightful.,0.92,0.05,0.03,0.84,0.9
Let’s schedule a follow-up discussion next week.,0.25,0.41,0.34,0.4,0.82
I expected better preparation for today’s demo.,0.78,0.15,0.07,0.99,0.88
